ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999999997780e-02,0.000000000000000000e+00,-9.793600816314521396e+00
1.899999999999999467e-01,-7.391087325792854207e-08,-9.793600816314363300e+00
2.709999999999999076e-01,-2.143415324485668089e-07,-9.793600816313269064e+00
3.438999999999998725e-01,-4.146399989813098033e-07,-9.793600816309846024e+00
4.095099999999998741e-01,-6.688194921280290694e-07,-9.793600816302308942e+00
4.685589999999998922e-01,-9.714919092378236796e-07,-9.793600816288643429e+00
5.217030999999998642e-01,-1.317807957930041614e-06,-9.793600816266728515e+00
5.695327899999997889e-01,-1.703403275067799894e-06,-9.793600816234425466e+00
6.125795109999998544e-01,-2.124349933833999554e-06,-9.793600816189631075e+00
6.513215598999998468e-01,-2.577112800099620093e-06,-9.793600816130330955e+00
6.861894039099998288e-01,-3.058510253155096656e-06,-9.793600816054626179e+00
7.175704635189998903e-01,-3.565678834368481033e-06,-9.793600815960749273e+00
7.458134171670999235e-01,-4.096041430977750442e-06,-9.793600815847078422e+00
7.712320754503899645e-01,-4.647278641503832437e-06,-9.793600815712121488e+00
7.941088679053509569e-01,-5.217303004622310339e-06,-9.793600815554544425e+00
8.146979811148158390e-01,-5.804235805147935597e-06,-9.793600815373139312e+00
8.332281830033342329e-01,-6.406386199420671075e-06,-9.793600815166831453e+00
8.499053647030008207e-01,-7.022232428153123839e-06,-9.793600814934665166e+00
8.649148282327007164e-01,-7.650404907993240748e-06,-9.793600814675802013e+00
8.784233454094306781e-01,-8.289671013930709006e-06,-9.793600814389501252e+00
8.905810108684876214e-01,-8.938921383462744517e-06,-9.793600814075119843e+00
9.015229097816388482e-01,-9.597157590343267610e-06,-9.793600813732098231e+00
9.113706188034749189e-01,-1.026348105095720964e-05,-9.793600813359956803e+00
9.202335569231274714e-01,-1.093708304005734430e-05,-9.793600812958279889e+00
9.282102012308147687e-01,-1.161723570492746322e-05,-9.793600812526712218e+00
9.353891811077332807e-01,-1.230328397812924253e-05,-9.793600812064957140e+00
9.418502629969599527e-01,-1.299463829897441047e-05,-9.793600811572758857e+00
9.476652366972639907e-01,-1.369076806284970771e-05,-9.793600811049911314e+00
9.528987130275375916e-01,-1.439119572560936314e-05,-9.793600810496236875e+00
9.576088417247837770e-01,-1.509549149752830176e-05,-9.793600809911591654e+00
9.618479575523053438e-01,-1.580326856786007044e-05,-9.793600809295869070e+00
9.656631617970747872e-01,-1.651417880693893919e-05,-9.793600808648967870e+00
9.690968456173673085e-01,-1.722790889807180524e-05,-9.793600807970822331e+00
9.721871610556305221e-01,-1.794417685624093850e-05,-9.793600807261375607e+00
9.749684449500675143e-01,-1.866272889493639413e-05,-9.793600806520593949e+00
9.774716004550607629e-01,-1.938333660630524145e-05,-9.793600805748443605e+00
9.797244404095546422e-01,-2.010579442328585037e-05,-9.793600804944917471e+00
9.817519963685992224e-01,-2.082991733552874605e-05,-9.793600804110003111e+00
9.835767967317392557e-01,-2.155553883372537981e-05,-9.793600803243700526e+00
9.852191170585653524e-01,-2.228250905950404775e-05,-9.793600802346013268e+00
9.866972053527087727e-01,-2.301069314033616861e-05,-9.793600801416957324e+00
9.880274848174378510e-01,-2.373996969095198338e-05,-9.793600800456545130e+00
9.892247363356940770e-01,-2.447022946461468597e-05,-9.793600799464794449e+00
9.903022627021246249e-01,-2.520137413926709164e-05,-9.793600798441724820e+00
9.912720364319121957e-01,-2.593331522506366979e-05,-9.793600797387352230e+00
9.921448327887210095e-01,-2.666597308114943040e-05,-9.793600796301706879e+00
9.929303495098489307e-01,-2.739927603076078218e-05,-9.793600795184808305e+00
9.936373145588640599e-01,-2.813315956481645815e-05,-9.793600794036679602e+00
9.942735831029776428e-01,-2.886756562514926382e-05,-9.793600792857345638e+00
9.948462247926799229e-01,-2.960244195941464461e-05,-9.793600791646827730e+00
9.953616023134119750e-01,-3.033774154050845228e-05,-9.793600790405152523e+00
9.958254420820707997e-01,-3.107342204404288063e-05,-9.793600789132336004e+00
9.962428978738636642e-01,-3.180944537807485397e-05,-9.793600787828408372e+00
9.966186080864772867e-01,-3.254577725986153579e-05,-9.793600786493383836e+00
9.969567472778295691e-01,-3.328238683494027806e-05,-9.793600785127285491e+00
9.972610725500465900e-01,-3.401924633430068235e-05,-9.793600783730131099e+00
9.975349652950419310e-01,-3.475633076583928272e-05,-9.793600782301940200e+00
9.977814687655377490e-01,-3.549361763666892156e-05,-9.793600780842730558e+00
9.980033218889839963e-01,-3.623108670319707069e-05,-9.793600779352519936e+00
9.982029897000855856e-01,-3.696871974619638125e-05,-9.793600777831318993e+00
9.983826907300770159e-01,-3.770650036836820036e-05,-9.793600776279149045e+00
9.985444216570693587e-01,-3.844441381214966694e-05,-9.793600774696020750e+00
9.986899794913624007e-01,-3.918244679574012712e-05,-9.793600773081950095e+00
9.988209815422262050e-01,-3.992058736552493519e-05,-9.793600771436944186e+00
9.989388833880036289e-01,-4.065882476325684535e-05,-9.793600769761017233e+00
9.990449950492032993e-01,-4.139714930651925952e-05,-9.793600768054181671e+00
9.991404955442829694e-01,-4.213555228114319032e-05,-9.793600766316446382e+00
9.992264459898546614e-01,-4.287402584438246414e-05,-9.793600764547820248e+00
9.993038013908691619e-01,-4.361256293777148645e-05,-9.793600762748315702e+00
9.993734212517821902e-01,-4.435115720869713314e-05,-9.793600760917934522e+00
9.994360791266039268e-01,-4.508980293981351630e-05,-9.793600759056689142e+00
9.994924712139435785e-01,-4.582849498551532636e-05,-9.793600757164584891e+00
9.995432240925492540e-01,-4.656722871476365024e-05,-9.793600755241628875e+00
9.995889016832942842e-01,-4.730599995962947197e-05,-9.793600753287828198e+00
9.996300115149648891e-01,-4.804480496898253932e-05,-9.793600751303186414e+00
9.996670103634683890e-01,-4.878364036681163718e-05,-9.793600749287708851e+00
9.997003093271215057e-01,-4.952250311471253412e-05,-9.793600747241400839e+00
9.997302783944093107e-01,-5.026139047812742424e-05,-9.793600745164267707e+00
9.997572505549683353e-01,-5.100029999596015454e-05,-9.793600743056313007e+00
9.997815254994715239e-01,-5.173922945323019992e-05,-9.793600740917540293e+00
9.998033729495243715e-01,-5.247817685646095535e-05,-9.793600738747953116e+00
9.998230356545719788e-01,-5.321714041152944482e-05,-9.793600736547555030e+00
9.998407320891147254e-01,-5.395611850373090629e-05,-9.793600734316347811e+00
